member_id,display_name,payout_eligible,is_monkey,total_points,exact_hits,finals_mvp_correct,earliest_submission_at,max_remaining_points,breakdown,rank,payout_rank,projected_ceiling
1a35f790-9ef7-482d-a052-d8da61f982aa,Father of All,True,False,4,0,False,2026-04-14T10:12:59.890562+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",1,1,146
f920aeb6-b889-491c-b56c-b222832a72e3,גילעד עם י,True,False,4,0,False,2026-04-14T10:47:54.693876+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",2,2,146
70913c5a-bdbd-40e4-a825-cf1e28460ecc,Lustigson,True,False,4,0,False,2026-04-14T11:18:46.481897+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",3,3,146
e1e1ee61-376a-4104-b3f4-77920a15cf52,Ofsiuuuuu,True,False,4,0,False,2026-04-14T12:01:02.318750+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",4,4,146
d4c8ddbd-93f9-416c-a46e-cf3473cd3478,Big Dick Levy,True,False,4,0,False,2026-04-14T13:56:52.258612+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",5,5,146
7748ab7c-7f29-4c4f-a447-d0414e90b879,ליאב הווינר,True,False,4,0,False,2026-04-14T15:50:57.358236+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",6,6,146
e7df4352-3364-40ea-bc10-27985f2094dd,GooDay,True,False,3,0,False,2026-04-14T11:43:51.275223+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",7,7,145
87024746-1caa-435d-8dbd-d01ed625a3d8,LeTomer BD,True,False,3,0,False,2026-04-14T16:16:00.601192+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",8,8,145
b383818d-87be-4551-baa7-c25bde381875,Guli,True,False,3,0,False,2026-04-14T21:05:30.250552+00:00,142,"[{'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",9,9,145
6b0db3a3-94d6-4da4-bcbc-c15c17522c22,The Monkey,True,True,3,0,False,2026-04-18T10:49:46.691410+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",10,10,145
1f5da3a4-b36a-4c08-a04d-57240be44659,Melmeleh,True,False,2,0,False,2026-04-14T22:01:22.813538+00:00,142,"[{'window': 'East Play-In: Orlando Magic vs Charlotte Hornets', 'type': 'series', 'series_key': 'play_in-east-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Charlotte Hornets vs Miami Heat', 'type': 'series', 'series_key': 'play_in-east-9v10', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Portland Trail Blazers', 'type': 'series', 'series_key': 'play_in-west-7v8', 'points': 1, 'details': [{'label': 'Winner pick', 'points': 1}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Phoenix Suns vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-8seed', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'East Play-In: Philadelphia 76ers vs Orlando Magic', 'type': 'series', 'series_key': 'play_in-east-7v8', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}, {'window': 'West Play-In: Los Angeles Clippers vs Golden State Warriors', 'type': 'series', 'series_key': 'play_in-west-9v10', 'points': 0, 'details': [{'label': 'Winner pick', 'points': 0}, {'label': 'Exact result', 'points': 0}, {'label': 'Exact bonus', 'points': 0}]}]",11,11,144
